Sentence #,chittagong_word,bio_tag
Sentence: 1,কেন,O
,আচো,O
Sentence: 2,আযিয়া,O
,আর,O
,মন,O
,বালা,O
,নাই,O
Sentence: 3,তুঁই,O
,কি,O
,গরো,O
Sentence: 4,এই,O
,গরমত,O
,আত্তুন,O
,কিচু,O
,বালা,O
,ন,O
,লাগের,O
Sentence: 5,ফোয়াইবা,O
,সাদা,B-COL
,রংওর,I-COL
,উজ্ঞা,O
,শার্ট,B-OBJ
,ফরি,O
,আইস্যিল,O
Sentence: 6,মাইফোয়াইবা,O
,লাল,B-COL
,রংওর,I-COL
,শারি,B-OBJ
,ফরি,O
,আঁর,O
,লই,O
,দেহা,O
,গইর্,O
,তো,O
,আইস্যে,O
Sentence: 7,ফোয়াইবা,O
,সিলেটত্তুন,B-LOC
,ঢাহা,B-LOC
,আইস্যে,O
Sentence: 8,মাইফোয়া,O
,ইবা,O
,সিলেটত্তুন,B-LOC
,আইস্যেদে,O
,ফোয়া,O
,ইবারে,O
,বঊত,O
,বালবাসে,O
Sentence: 9,ফোয়াইবা,O
,মাইফোয়া,O
,ইবারে,O
,আইযো,O
,বালবাসার,O
,চোকে,O
,ন,O
,দেহে,O
Sentence: 10,মাইফোয়া,O
,ইবা,O
,তার,O
,বেজ্ঞিন,O
,সফ্নর,O
,মইদ্দে,O
,ফোয়াইবারে,O
,কল্ফনা,O
,গরে,O
Sentence: 11,আঁর,O
,বউতদিন,O
,আগে,O
,এব্বার,O
,বিয়া,O
,অইল,O
Sentence: 12,আঁর,O
,মা,B-REL
,আঁরে,O
,হইল,O
,বিয়া,O
,অইলে,O
,জিবন,O
,ফাল্টি,O
,যা,O
,গই,O
Sentence: 13,আম্মু,B-REL
,অইদিন,O
,টিক,O
,হতাই,O
,হইল,O
Sentence: 14,আম্মু,B-REL
,এগাযা,O
,আঁর,O
,মনোর,O
,হতা,O
,বুজে,O
Sentence: 15,আঁর,O
,বাসার,O
,হাজর,B-ROLE
,মাইফোয়া,I-ROLE
,ইবা,O
,ইয়া,O
,গম,O
,গরি,O
,হাজ,O
,গরিত,O
,ন,O
,ফারে,O
Sentence: 16,আঁর,O
,বাসার,O
,হাজর,B-ROLE
,মাইফোয়া,I-ROLE
,ইবা,O
,দুইদিন,O
,অর,O
,দাই,O
,গিয়্যুয়,O
Sentence: 17,আঁর,O
,বাসার,B-LOC
,দারোয়ান,B-ROLE
,এহন,O
,ইতার,O
,গেরামত,B-LOC
,বেরাইত,O
,গেয়্যে,O
Sentence: 18,তোঁয়ারে,O
,আঁই,O
,কল,O
,ন,O
,দিয়ুম,O
Sentence: 19,এই,O
,জিনিসসান,O
,কুব,O
,বিরক্তিকর,O
,আচিল,O
Sentence: 20,ইতে,O
,সিলেটত্তুন,B-LOC
,আঁর,O
,ফোয়ারে,O
,দেহা,O
,গইরতো,O
,আইস্যে,O
Sentence: 21,ইতে,O
,এহন,O
,রাজশাহী,B-LOC
,গেইয়্যুই,O
Sentence: 22,ইতে,O
,এহন,O
,তার,O
,বন্দুওক্কলর,B-REL
,ফোয়ারে,O
,সিগেট,B-OBJ
,হায়,O
Sentence: 23,এতে,O
,এব্বেরেও,O
,ন,O
,আসে,O
Sentence: 24,এতে,O
,আঁরে,O
,অফমান,O
,গইরগে,O
Sentence: 25,ইতাত্তুন,O
,বই,B-OBJ
,ফইরতো,O
,এফফোডাও,O
,গম,O
,ন,O
,লাগে,O
Sentence: 26,অনর,O
,কি,O
,বই,B-OBJ
,ফরার,O
,অব্বাস,O
,আচে,O
,নে,O
Sentence: 27,তুঁই,O
,কি,O
,আঁরে,O
,চিনো,O
,নে,O
Sentence: 28,আঁই,O
,তোয়াঁরে,O
,চিনিত,O
,ন,O
,ফাইরলাম,O
Sentence: 29,আঁই,O
,তোয়াঁরে,O
,আগে,O
,হনো,O
,অত্তে,O
,ন,O
,দেহি,O
Sentence: 30,আঁত্তুন,O
,ফরালেহা,O
,গইরতো,O
,এফফোডাও,O
,গম,O
,ন,O
,লাগে,O
Sentence: 31,অনর,O
,ফরালেহা,O
,গরা,O
,উচিত,O
Sentence: 32,অনোত্তুন,O
,ফরালেহা,O
,গরা,O
,ফরিবো,O
Sentence: 33,অনর,O
,কি,O
,ফরালেহা,O
,গইরতো,O
,এব্বেরেও,O
,গম,O
,ন,O
,লাগে,O
Sentence: 34,তোত্তুন,O
,ফরালেহা,O
,গরা,O
,ফরিবো,O
Sentence: 35,তুই,O
,কি,O
,আর,O
,ফরালেহা,O
,ন,O
,গরিবি,O
Sentence: 36,তুই,O
,কি,O
,ফরালেহা,O
,চারি,O
,দিতো,O
,চস,O
,নিকি,O
Sentence: 37,তোর,O
,কি,O
,ফরালেহা,O
,গইরতো,O
,এব্বেরেও,O
,গম,O
,ন,O
,লাগে,O
Sentence: 38,তুঁই,O
,কি,O
,এহন,O
,হাইতো,O
,বইবা,O
,নে,O
Sentence: 39,আযিয়া,O
,আঁর,O
,হাইতো,O
,মনো,O
,ন,O
,হর,O
Sentence: 40,আঁর,O
,বিদ্যালয়ে,B-ORG
,বউত,O
,বন্দু,B-REL
,আচে,O
Sentence: 41,আঁর,O
,চোড,B-REL
,বইন,I-REL
,বিদ্যালয়অত,B-ORG
,যাইত,O
,ন,O
,চাই,O
Sentence: 42,আত্তুন,O
,বিদ্যালয়অত,B-ORG
,যাইত,O
,বউত,O
,বালা,O
,লাগে,O
Sentence: 43,ইবা,O
,তার,O
,গেরামর,B-LOC
,এক্কান,O
,বিদ্যালয়,B-ORG
,অত,O
,ফরালেহা,O
,গরে,O
Sentence: 44,ইবা,O
,বিদ্যালয়অত,B-ORG
,যাইত,O
,ন,O
,চায়,O
Sentence: 45,ইতাত্তুন,O
,বিদ্যালয়,B-ORG
,অত,O
,যাই,O
,ফরালেহা,O
,গইরতো,O
,গম,O
,ন,O
,লাগে,O
Sentence: 46,ইতে,O
,বিদ্যালয়,B-ORG
,অত,O
,যাই,O
,বন্দু,B-REL
,অক্কলর,O
,ফোয়ারে,O
,গল্ফ,O
,গরে,O
Sentence: 47,ইতে,O
,বিদ্যালয়,B-LOC
,অর,O
,মাডঅত,I-LOC
,ফত্তিন,O
,ক্রিকেট,O
,কেলে,O
Sentence: 48,ইবা,O
,বিদ্যালয়,B-LOC
,অর,O
,মাডঅত,I-LOC
,মায়া,O
,গুরি,O
,ফরি,O
,গেইয়্যুই,O
Sentence: 49,ইতে,O
,বউত,O
,দিন,O
,আগে,O
,তার,O
,বিদ্যালয়,B-ORG
,অর,O
,ওজ্ঞা,O
,মাইফোয়ারে,O
,বালবাসিতো,O
Sentence: 50,ফোয়াইবা,O
,তার,O
,গেরামর,B-LOC
,গুরা,O
,এক্কান,O
,বিদ্যালয়,B-ORG
,অত্তুন,O
,ফরালেহা,O
,গরি,O
,এসএসসি,O
,ফাশ,O
,গইরগে,O
Sentence: 51,তোঁয়ারার,O
,বাসা,O
,হডে,O
Sentence: 52,ডাহা,B-LOC
,বাংলাদেশঅর,B-LOC
,রাযদানি,O
Sentence: 53,তুঁই,O
,কি,O
,আঁর,O
,ফোয়ারে,O
,ফেম,O
,গরিবা,O
,নে,O
Sentence: 54,আঁই,O
,আযিয়া,O
,বেইন্না,O
,ফুটবল,B-OBJ
,কেলা,O
,হাইয়্যি,O
Sentence: 55,আঁই,O
,তোয়াঁর,O
,মন,O
,অর,O
,হতা,O
,বুজি,O
Sentence: 56,তোঁয়ার,O
,লাই,O
,আঁর,O
,কুব,O
,হস্ট,O
,অই,O
Sentence: 57,আঁরার,O
,সফ্ন,O
,বউত,O
,ডঅর,O
Sentence: 58,আল্ফবয়স্যা,O
,ফোয়া,O
,অজ্ঞা,O
,বাইরে,O
,ফুটফাতত,B-LOC
,দুরের,O
Sentence: 59,ওজ্ঞা,O
,গুরা,O
,ফোয়া,O
,বিচানাতা,B-OBJ
,ফালমারি,O
,উডের,O
Sentence: 60,ওজ্ঞা,O
,ফোয়া,O
,বিচানাত,B-OBJ
,ফালার,O
Sentence: 61,ওজ্ঞা,O
,ফোয়া,O
,এক,O
,বিচানাত্তুন,B-OBJ
,আরেক,O
,বিচানাত,B-OBJ
,ফাল,O
,মারে,O
Sentence: 62,ওজ্ঞা,O
,গুরা,O
,ফোয়া,O
,ফুটফাতোত,B-LOC
,আডের,O
Sentence: 63,আঁই,O
,ওজ্ঞা,O
,ফোয়া,O
Sentence: 64,আঁই,O
,ওজ্ঞা,O
,মাইফোয়া,O
Sentence: 65,আঁর,O
,জামাই,B-REL
,আঁরে,O
,কুব,O
,বালবাসে,O
Sentence: 66,স্কুল,B-ORG
,যিবন,O
,অইতে,O
,তারার,O
,ফ্রেম,O
,আচিল,O
Sentence: 67,আঁই,O
,বিয়া,O
,গইরগি,O
,দশ,O
,বচর,O
,অর,O
Sentence: 68,এব্বারে,O
,গম,O
,চবি,O
Sentence: 69,বউদ্দিন,O
,ফর,O
,এক্কান,O
,বালা,O
,চবি,O
,দেইলাম,O
Sentence: 70,বেশি,O
,গম,O
,লিকখো,O
Sentence: 71,বউদ্দিন,O
,বাদে,O
,এক্কান,O
,বালা,O
,লেহা,O
,ফইরলাম,O
Sentence: 72,মাতা,O
,হঁরাইলদি,O
,এএন,O
,ন,O
Sentence: 73,কিচুই,O
,ন,O
,বুযিলাম,O
Sentence: 74,ইবা,O
,ইয়ান,O
,দেহি,O
,বিয়ুশ,O
,অই,O
,গেইয়্যুয়,O
Sentence: 75,এক,O
,হতায়,O
,বউত,O
,সুন্দর,O
,লাগের,O
,অনেরে,O
Sentence: 76,অনর,O
,চবিরতুন,B-OBJ
,বেরা,O
,অনে,O
,বাস্তবে,O
,বেশি,O
,সুন্দর,O
Sentence: 77,অনর,O
,আশির,O
,হাচে,O
,বেজ্ঞিন,O
,আর,O
,মানি,O
,যাইগই,O
Sentence: 78,অনর,O
,চোক,O
,বউত,O
,সুন্দর,O
Sentence: 79,অনর,O
,লাই,O
,ফরিচয়,O
,অই,O
,বউত,O
,বালা,O
,লাইজ্ঞে,O
Sentence: 80,বউত,O
,দিন,O
,ফর,O
,অন,O
,অরে,O
,দেহির,O
Sentence: 81,দু,O
,বাই,B-REL
,অর,O
,মাযে,O
,জাগা,O
,জমি,O
,লই,O
,হইয্যা,O
,অই,O
Sentence: 82,ফরে,O
,এক,O
,বাই,B-REL
,কয়েত,B-LOC
,গেইয়্যুই,O
,আরেক,O
,বাই,B-REL
,সুদান,B-LOC
,গেইয়্যুই,O
Sentence: 83,হদ্দিন,O
,বাদে,O
,সুদান,B-LOC
,অত্তুন,O
,আইস্যেদে,O
,মানুষ,O
,ইবা,O
,বিয়া,O
,গইরগে,O
Sentence: 84,মুবাইল,B-OBJ
,চারা,O
,বাতরুম,O
,অত,O
,যাইলে,O
,মনো,O
,অই,O
,যরুরি,O
,ফাইল,B-OBJ
,চারা,O
,আফিস,B-ORG
,অত,O
,আইস্যি,O
Sentence: 85,যারারে,O
,গাইল,O
,দেয়া,O
,অই,O
,গেইয়্যুয়,O
,তারা,O
,দয়া,O
,গরি,O
,লাইন,O
,অত্তুন,O
,সরি,O
,যন,O
Sentence: 86,ফিচনে,O
,আইযো,O
,বিউত,O
,মানুষ,O
,লাইন,O
,অত,O
,তিয়ায়,O
,তাইক্কে,O
Sentence: 87,তারারে,O
,গালি,O
,দিবর,O
,সুযোগ,O
,গরি,O
,দন,O
Sentence: 88,বর,O
,বেশি,O
,কিচু,O
,ন,O
,হইয়্যুম,O
,হারন,O
,আবেগে,O
,চোক,O
,অত,O
,ফানি,O
,আ,O
,গেইয়্যুয়,O
Sentence: 89,তুঁই,O
,হদ্দে,O
,নে,O
,যে,O
,তাইবার,O
,ইতে,O
,এনেই,O
,তাকিবো,O
Sentence: 90,ফাস্টে,O
,অনত্তুন,O
,এক্কান,O
,দোয়ান,O
,অত,O
,যা,O
,ফরিবো,O
Sentence: 91,নিযর,O
,ফচন্দর,O
,বিয়াত,O
,বাপ,B-REL
,মারে,B-REL
,রায,O
,গরানো,O
,অয়্যে,O
Sentence: 92,মাইফোয়া,O
,ইবা,O
,লাল,B-COL
,শারি,I-OBJ
,ফিন্দি,O
,তিয়ায়,O
,তাইক্কে,O
Sentence: 93,বউওর,B-REL
,লাই,O
,বলি,O
,বন্দুওক্কলর,B-REL
,মাযে,O
,আর,O
,মুক,O
,দেহাইবর,O
,উফায়,O
,নাই,O
Sentence: 94,আঁরে,O
,বেজ্ঞুনর,O
,সাম্মে,O
,মারি,O
,মারি,O
,বারিত,O
,লই,O
,আইস্যে,O
Sentence: 95,আঁই,O
,যানি,O
,এডে,O
,বউত,O
,মাইফোয়া,O
,কমেন্ট,O
,ফরিবার,O
,লাই,O
,আইবো,O
Sentence: 96,মাযে,O
,মাযে,O
,মনো,O
,অই,O
,বারি,O
,গর,O
,বেজ্ঞিন,O
,মশার,B-ANI
,নামঅত,O
,লেহি,O
,দি,O
,যঁঅল,B-LOC
,অত,O
,যাইগই,O
Sentence: 97,তোঁয়ার,O
,অই,O
,আচি,O
,আঁই,O
,তোঁয়ার,O
,অই,O
,তাইক্কম,O
Sentence: 98,আযিবন,O
,তোঁয়ারে,O
,আঁই,O
,বালবাসি,O
,যাইয়্যুম,O
Sentence: 99,ফাশে,O
,তাইক্কো,O
,সারাযিবন,O
,দুরে,O
,ন,O
,যাইয়্যু,O
Sentence: 100,তোঁয়ারে,O
,চারা,O
,আঁর,O
,এক্কানাও,O
,গম,O
,ন,O
,লাগে,O
Sentence: 101,হনিকারে,O
,আবেগের,O
,বালবাসা,O
,ন,O
,দিও,O
,মনোর,O
,বালবাসা,O
,দিও,O
Sentence: 102,হারন,O
,আবেগর,O
,বালবাসা,O
,একদিন,O
,বিবেকর,O
,হাচে,O
,আরি,O
,যাইবই,O
Sentence: 103,কেন,O
,গরি,O
,বুজাই,O
,তারে,O
,আঁই,O
,হত,O
,বালবাসি,O
Sentence: 104,বউতদিন,O
,ফর,O
,তোঁয়ারে,O
,দেইলাম,O
Sentence: 105,তোঁয়ারে,O
,দেহি,O
,দর,O
,অই,O
,তিয়ায়,O
,আচিলাম,O
Sentence: 106,আঁই,O
,বড়,O
,হস্টে,O
,নিযেরে,O
,চঅঁলাই,O
,লইয়্যি,O
Sentence: 107,যেত্তে,O
,তুঁই,O
,আঁরে,O
,দেহিয়েরেও,O
,না,O
,দেহার,O
,বান,O
,গইরগো,O
,এত্তে,O
,আত্তুন,O
,এন,O
,গম,O
,লাইজ্ঞে,O
Sentence: 108,তোঁয়ারে,O
,অনুবুতি,O
,ইয়ান,O
,হইয়েরে,O
,বুজাইত,O
,ন,O
,ফাইরগম,O
Sentence: 109,তোঁয়ারে,O
,কুব,O
,মনোত,O
,ফরের,O
,দিয়্যুম,O
,তোঁয়ারে,O
,লাল,B-COL
,গোলাপ,B-OBJ
Sentence: 110,আঁর,O
,জিবনত,O
,হনিক্কাই,O
,নাই,O
,তুঁই,O
,চারা,O
Sentence: 111,আঁর,O
,জিবনত,O
,হনো,O
,সফ্ন,O
,নাই,O
,তুঁই,O
,চারা,O
Sentence: 112,আঁর,O
,দুচোক,O
,কিচু,O
,ন,O
,তুয়াই,O
,তোয়াঁরে,O
,চারা,O
Sentence: 113,যেত্তে,O
,মাইয়্যা,O
,বুযে,O
,এত্তে,O
