Sentence #,sylhet_word,bio_tag
Sentence: 1,ভালা,O
,আছনি,O
Sentence: 2,আইজকু,O
,আমার,O
,মন,O
,ভালা,O
,নায়,O
Sentence: 3,তুমি,O
,কিতা,O
,খরো,O
Sentence: 4,অউ,O
,গরমো,O
,আমার,O
,কুনতা,O
,ভালা,O
,লাগের,O
,না,O
Sentence: 5,ফুয়াটায়,O
,এখটা,O
,সাদা,B-COL
,রংগর,I-COL
,শার্ট,B-OBJ
,পিন্দিয়া,O
,আইছিল,O
Sentence: 6,ফুড়িটায়,O
,লাল,B-COL
,রংগর,I-COL
,শাড়ি,B-OBJ
,পিন্দিয়া,O
,মোর,O
,লগে,O
,দেখা,O
,করাত,O
,আইছিল,O
Sentence: 7,ফুয়াটায়,O
,সিলেট,B-LOC
,থাকি,O
,ঢাকাত,B-LOC
,আইছে,O
Sentence: 8,ফুড়িটায়,O
,সিলেট,B-LOC
,থাকি,O
,আওয়া,O
,অউ,O
,ফুয়াটারে,O
,অনেক,O
,ভালা,O
,পায়,O
Sentence: 9,ফুয়াটায়,O
,এবো,O
,ধরি,O
,ফুড়িটারে,O
,ভালা,O
,পাওয়ার,O
,চউকে,O
,দেখছে,O
,না,O
Sentence: 10,ফুড়িটাায়,O
,তাইর,O
,হখল,O
,সফনর,O
,মাজে,O
,ফুয়াটারে,O
,কল্পনা,O
,করে,O
Sentence: 11,আমার,O
,বাক্কা,O
,আগে,O
,এখবার,O
,বিয়া,O
,অইছিল,O
Sentence: 12,আমার,O
,আম্মায়,B-REL
,আমারে,O
,কইছলা,O
,বিয়া,O
,অইলে,O
,জীবন,O
,বদলি,O
,যায়,O
Sentence: 13,আম্মায়,B-REL
,হেদিন,O
,ঠিক,O
,কথাউ,O
,কইছলা,O
Sentence: 14,আম্মায়,B-REL
,হখল,O
,সময়,O
,অউ,O
,আমার,O
,মনর,O
,কথা,O
,বুজইন,O
Sentence: 15,আমার,O
,বাসার,O
,কামর,B-ROLE
,ফুড়িটায়,I-ROLE
,এখন,O
,ভালা,O
,মত,O
,কাম,O
,করে,O
,না,O
Sentence: 16,আমার,O
,বাসাার,O
,কামর,B-ROLE
,ফুড়িটায়,I-ROLE
,দুইদিন,O
,ধরি,O
,ভাগন্তিত,O
Sentence: 17,আমার,O
,বাসার,B-LOC
,দারোয়ান,B-ROLE
,এখন,O
,তার,O
,গ্রামো,B-LOC
,পাখানিত,O
,গেছে,O
Sentence: 18,আমি,O
,তুমারে,O
,কল,O
,দিতাম,O
,নায়,O
Sentence: 19,অউ,O
,জিনিসটা,O
,খুবঅই,O
,বিরক্তিকর,O
,আছিল,O
Sentence: 20,হে,O
,সিলেট,B-LOC
,থাকি,O
,আমার,O
,লগে,O
,দেখা,O
,করাত,O
,আইছিল,O
Sentence: 21,হে,O
,এখন,O
,রাজশাহীত,B-LOC
,গেছে,O
,গিয়া,O
Sentence: 22,হে,O
,এখন,O
,তার,O
,বন্ধুবান্ধবর,B-REL
,লগে,O
,সিগারেট,B-OBJ
,খায়,O
Sentence: 23,হে,O
,এখেবারেউ,O
,হাসে,O
,না,O
Sentence: 24,হে,O
,আমারে,O
,অপমান,O
,করে,O
Sentence: 25,তার,O
,বই,B-OBJ
,পড়তে,O
,একদম,O
,অউ,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 26,আফনার,O
,কিতা,O
,বই,B-OBJ
,পড়ার,O
,অভ্যাস,O
,আছে,O
,নি,O
Sentence: 27,তুমি,O
,আমারে,O
,চিনো,O
,নি,O
Sentence: 28,মুই,O
,তুুমারে,O
,চিনতাম,O
,পারিয়ার,O
,না,O
Sentence: 29,মুই,O
,তুমারে,O
,এর,O
,আগে,O
,কুনোদিন,O
,দেখছি,O
,না,O
Sentence: 30,পড়ালেখা,O
,করতে,O
,আমার,O
,এখদম,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 31,আফনার,O
,পড়ালেখা,O
,করা,O
,উচিত,O
Sentence: 32,আফনার,O
,পড়ালেখা,O
,খরা,O
,লাগবো,O
Sentence: 33,আফনার,O
,কিতা,O
,পড়ালেখা,O
,করতে,O
,এখদম,O
,ভালা,O
,লাগে,O
,নানি,O
Sentence: 34,তর,O
,পড়ালেখা,O
,করা,O
,লাগবো,O
Sentence: 35,তুই,O
,কিতা,O
,আর,O
,পড়ালেখা,O
,করতে,O
,নানি,O
Sentence: 36,তুই,O
,কিতা,O
,পড়ালেখা,O
,ছাড়িত্তে,O
,নি,O
Sentence: 37,তর,O
,কিতা,O
,পড়ালেখা,O
,করতে,O
,এখদম,O
,অউ,O
,ভালা,O
,লাগে,O
,নানি,O
Sentence: 38,তুমি,O
,কিতা,O
,এখন,O
,খানিত,O
,বইবায়,O
,নি,O
Sentence: 39,আইজকু,O
,আমার,O
,খাইতে,O
,ভালা,O
,লাগের,O
,না,O
Sentence: 40,ইস্কুলো,B-ORG
,আমার,O
,বাক্কা,O
,বন্ধু,B-REL
,আছে,O
Sentence: 41,আমার,O
,ছুটো,B-REL
,বইন,I-REL
,ইস্কুলো,B-ORG
,যাইতে,O
,চায়,O
,না,O
Sentence: 42,আমার,O
,ইস্কু্ল,B-ORG
,যাইতে,O
,অনেক,O
,ভালা,O
,লাগে,O
Sentence: 43,হে,O
,তার,O
,গাউর,B-LOC
,এখটা,O
,ইস্কুলো,B-ORG
,পড়ে,O
Sentence: 44,হে,O
,ইস্কুলো,B-ORG
,যাইতো,O
,চায়,O
,না,O
Sentence: 45,তার,O
,ইস্কুলো,B-ORG
,গিয়া,O
,পড়ালেখা,O
,খরতো,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 46,হে,O
,ইস্কুলো,B-ORG
,গিয়া,O
,বন্ধুরার,B-REL
,লগে,O
,গফ,O
,করে,O
Sentence: 47,হে,O
,ইস্কুলর,B-LOC
,মাঠো,I-LOC
,ফত্তেকদিন,O
,ক্রিকেট,O
,খেলায়,O
Sentence: 48,হে,O
,ইস্কুলর,B-LOC
,মাাঠো,I-LOC
,মাথা,O
,গুরাইয়া,O
,পরি,O
,গেছিল,O
Sentence: 49,হে,O
,বাক্কা,O
,আগে,O
,তার,O
,ইস্কুলর,B-ORG
,একটা,O
,ফুড়িরে,O
,ভালা,O
,পাইতো,O
Sentence: 50,ফুয়াাটায়,O
,তার,O
,গাউর,B-LOC
,ছুটো,O
,এখটা,O
,ইস্কুল,B-ORG
,থাকি,O
,পড়িয়া,O
,এসএসসি,O
,পাশ,O
,খরছে,O
Sentence: 51,তুমার,O
,বাসা,O
,খই,O
Sentence: 52,ঢাকা,B-LOC
,বাংলাদেশর,B-LOC
,রাজধানী,O
Sentence: 53,তুমি,O
,কিতা,O
,আমার,O
,লগে,O
,পিরিত,O
,করবায়,O
,নি,O
